SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,June-9-2025,Condo/Co-op,12505 NE 116th St Unit A10,Kirkland,WA,98034,407000,2,1.0,North Rose Hill,923,,1980,,441,489,Sold,,,https://www.redfin.com/WA/Kirkland/12505-NE-116th-St-98034/unit-A10/home/56104,NWMLS as Distributed by MLS Grid,2391648,N,Y,47.7035535,-122.1738674
PAST SALE,May-2-2025,Vacant Land,7532 123rd Ave NE,Kirkland,WA,98033,1325000,,,Rose Hill,,12196,,,,,Sold,,,https://www.redfin.com/WA/Kirkland/7532-123rd-Ave-NE-98033/home/517411,NWMLS as Distributed by MLS Grid,2343465,N,Y,47.6726345,-122.1756315
PAST SALE,August-15-2025,Condo/Co-op,935 1st St S #4,Kirkland,WA,98033,1300000,2,1.0,Kirkland,1065,,1963,,1221,475,Sold,,,https://www.redfin.com/WA/Kirkland/935-1st-St-S-98033/unit-4/home/21647,NWMLS as Distributed by MLS Grid,2409221,N,Y,47.668248,-122.2061295
PAST SALE,August-19-2025,Single Family Residential,13810 SE 51st Pl,Bellevue,WA,98006,1960000,4,3.0,Bellevue,3280,10800,1986,,598,,Sold,,,https://www.redfin.com/WA/Bellevue/13810-SE-51st-Pl-98006/home/239900,NWMLS as Distributed by MLS Grid,2401684,N,Y,47.5566909,-122.1554956
PAST SALE,April-30-2025,Condo/Co-op,4173 W Lake Sammamish Pkwy SE Unit A103,Bellevue,WA,98008,450000,2,1.5,Bellevue,891,,1981,,505,489,Sold,,,https://www.redfin.com/WA/Bellevue/4173-W-Lake-Sammamish-Pkwy-SE-98008/unit-A103/home/31902,NWMLS as Distributed by MLS Grid,2347614,N,Y,47.5702519,-122.102283
PAST SALE,May-29-2025,Townhouse,12601 Sunbreak Way NE,Redmond,WA,98053,980000,2,2.5,Redmond,1900,2984,2004,,516,340,Sold,,,https://www.redfin.com/WA/Redmond/12601-Sunbreak-Way-NE-98053/home/2064277,NWMLS as Distributed by MLS Grid,2371791,N,Y,47.711538,-122.034945
PAST SALE,April-29-2025,Single Family Residential,2412 176th Ct NE,Redmond,WA,98052,1650000,4,2.5,Idylwood,1860,12073,1985,,887,,Sold,,,https://www.redfin.com/WA/Redmond/2412-176th-Ct-NE-98052/home/503330,NWMLS as Distributed by MLS Grid,2333251,N,Y,47.6316475,-122.1047024
PAST SALE,June-5-2025,Single Family Residential,8659 233rd Pl NE,Redmond,WA,98053,1460000,3,2.5,Redmond Ridge,2120,3630,2004,,689,72,Sold,,,https://www.redfin.com/WA/Redmond/8659-233rd-Pl-NE-98053/home/2077544,NWMLS as Distributed by MLS Grid,2369152,N,Y,47.6796228,-122.030664
PAST SALE,May-16-2025,Single Family Residential,11067 Elliston Way NE,Redmond,WA,98053,860000,4,2.5,Redmond Ridge,1844,5340,2008,,466,97,Sold,,,https://www.redfin.com/WA/Redmond/11067-Elliston-Way-NE-98053/home/18659599,NWMLS as Distributed by MLS Grid,2363124,N,Y,47.6965505,-122.0259496
